ID,Name,Part Number,Category,Short Description,Long Description,Weight,Handling Capacity,Regulations,Sump Capacity,PLength,PWidth,PHeight,"Dimension Type (Drum, Pool, etc)",Product Option 1(Item_ID),Product Option 2(Item_ID),Product Option 3(Item_ID)
ENP NUPB 100H,ENSORB™ Sorbents,ENP NUPB 100H,Sorbents,ENSORB™ PADS Universal,"Our line of bonded natural sorbents are manufactured using highly absorbent, natural renewable-resource fibers. Making EnSorb™ an exceptional value. EnSorb™ bonded natural sorbents are constructed from a single layer of extremely fine natural fibers that are point-bonded together. Proprietary chemical additives maximize and enhance the fibers water repulsion, flame resistance (equal to or better than polypropylene), and resistance to microbes. EnSorb™ is manufactured with virtually no dependency on domestic or foreign oil production utilizing largely American grown renewable resources. Our EnSorb™ bonded product line ~ based on ASTM test standard 726 ~ on average, absorbs better than competing products by approximately 40%.",,,,,,,,Sorbents,ENP 20 NUPIL817,ENP 25 ODT,ENP HPB100H
ENP NUPB 100M,ENSORB™ Sorbents,ENP NUPB 100M,Sorbents,ENSORB™ PADS Universal,"Our line of bonded natural sorbents are manufactured using highly absorbent, natural renewable-resource fibers. Making EnSorb™ an exceptional value. EnSorb™ bonded natural sorbents are constructed from a single layer of extremely fine natural fibers that are point-bonded together. Proprietary chemical additives maximize and enhance the fibers water repulsion, flame resistance (equal to or better than polypropylene), and resistance to microbes. EnSorb™ is manufactured with virtually no dependency on domestic or foreign oil production utilizing largely American grown renewable resources. Our EnSorb™ bonded product line ~ based on ASTM test standard 726 ~ on average, absorbs better than competing products by approximately 40%.",,,,,,,,Sorbents,ENP 10 NOPIL1717,ENP 25 UDT,ENP OP100M
ENP NUPB 200S,ENSORB™ Sorbents,ENP NUPB 200S,Sorbents,ENSORB™ PADS Universal,"Our line of bonded natural sorbents are manufactured using highly absorbent, natural renewable-resource fibers. Making EnSorb™ an exceptional value. EnSorb™ bonded natural sorbents are constructed from a single layer of extremely fine natural fibers that are point-bonded together. Proprietary chemical additives maximize and enhance the fibers water repulsion, flame resistance (equal to or better than polypropylene), and resistance to microbes. EnSorb™ is manufactured with virtually no dependency on domestic or foreign oil production utilizing largely American grown renewable resources. Our EnSorb™ bonded product line ~ based on ASTM test standard 726 ~ on average, absorbs better than competing products by approximately 40%.",,,,,,,,Sorbents,ENP 10 NUPIL1717,ENP 25 ODT,ENP OP200S
ENP NURB 15150,ENSORB™ Sorbents,ENP NURB 15150,Sorbents,ENSORB™ ROLLS Universal,"Our line of bonded natural sorbents are manufactured using highly absorbent, natural renewable-resource fibers. Making EnSorb™ an exceptional value. EnSorb™ bonded natural sorbents are constructed from a single layer of extremely fine natural fibers that are point-bonded together. Proprietary chemical additives maximize and enhance the fibers water repulsion, flame resistance (equal to or better than polypropylene), and resistance to microbes. EnSorb™ is manufactured with virtually no dependency on domestic or foreign oil production utilizing largely American grown renewable resources. Our EnSorb™ bonded product line ~ based on ASTM test standard 726 ~ on average, absorbs better than competing products by approximately 40%.",,,,,,,,Sorbents,ENP 10 NUPIL1717,ENP NOPL 100H,ENP NUPB 200S
ENP NURB 30150,ENSORB™ Sorbents,ENP NURB 30150,Sorbents,ENSORB™ ROLLS Universal,"Our line of bonded natural sorbents are manufactured using highly absorbent, natural renewable-resource fibers. Making EnSorb™ an exceptional value. EnSorb™ bonded natural sorbents are constructed from a single layer of extremely fine natural fibers that are point-bonded together. Proprietary chemical additives maximize and enhance the fibers water repulsion, flame resistance (equal to or better than polypropylene), and resistance to microbes. EnSorb™ is manufactured with virtually no dependency on domestic or foreign oil production utilizing largely American grown renewable resources. Our EnSorb™ bonded product line ~ based on ASTM test standard 726 ~ on average, absorbs better than competing products by approximately 40%.",,,,,,,,Sorbents,ENP 20 NUPIL817,ENP NOPB 100M,ENP NUPB 100H
ENP OB510,Sorbent Booms,ENP OB510,Sorbents,Sorbent Booms Oil Only,"Oil Only: ENPAC oil-select polypropylene sorbent booms are great for picking up all spilled oils and hydrocarbons on water.  Fast-wicking white fibers are stuffed into 5” and 8” diameter booms 10’ long.  Comes complete with hooks and loops to link booms together for spills over large areas.  Ideal for catch basins, sumps, marinas, and industrial applications. ",,,,,,,,Sorbents,ENP 40HS34,ENP HRB30150,ENP UPB200S
ENP OB810,Sorbent Booms,ENP OB81,Sorbents,Sorbent Booms Oil Only,"Oil Only: ENPAC oil-select polypropylene sorbent booms are great for picking up all spilled oils and hydrocarbons on water.  Fast-wicking white fibers are stuffed into 5” and 8” diameter booms 10’ long.  Comes complete with hooks and loops to link booms together for spills over large areas.  Ideal for catch basins, sumps, marinas, and industrial applications. ",,,,,,,,Sorbents,ENP 20HS38,ENP HRB15150,ENP HPB100H
ENP OP100H,Sorbent Pads,ENP OP100H,Sorbents,Sorbent Pads Oil Only,"ENPAC meltblown oil-select polypropylene sorbent pads are the most cost-effective absorption technology available. Minimum size is 270 square inches. Fast wicking fibers absorb up to 25 times their weight.

Oil Only: These white pads absorb oils and hydrocarbons only.

Universal:  Bonded for added strength and durability, the grey pads are a great choice for maintenance shops.

Aggressive:  Our hazmat sorbent pads for aggressive liquids are bonded for added strength and durability and color-coded for hazard recognition.  

Minimum Size: 270 square inches",,,,,,,,Sorbents,FD324-0901-00EP,FA024-1000-00EP,ENP HRB30150
ENP OP100M,Sorbent Pads,ENP OP100M,Sorbents,Sorbent Pads Oil Only,"ENPAC meltblown oil-select polypropylene sorbent pads are the most cost-effective absorption technology available. Minimum size is 270 square inches. Fast wicking fibers absorb up to 25 times their weight.

Oil Only: These white pads absorb oils and hydrocarbons only.

Universal:  Bonded for added strength and durability, the grey pads are a great choice for maintenance shops.

Aggressive:  Our hazmat sorbent pads for aggressive liquids are bonded for added strength and durability and color-coded for hazard recognition.  

Minimum Size: 270 square inches",,,,,,,,Sorbents,FA324-0750-00EP,FD015-4901-00NS,ENP HRB15150
ENP OP200S,Sorbent Pads,ENP OP200S,Sorbents,Sorbent Pads Oil Only,"ENPAC meltblown oil-select polypropylene sorbent pads are the most cost-effective absorption technology available. Minimum size is 270 square inches. Fast wicking fibers absorb up to 25 times their weight.

Oil Only: These white pads absorb oils and hydrocarbons only.

Universal:  Bonded for added strength and durability, the grey pads are a great choice for maintenance shops.

Aggressive:  Our hazmat sorbent pads for aggressive liquids are bonded for added strength and durability and color-coded for hazard recognition.  

Minimum Size: 270 square inches",,,,,,,,Sorbents,FA-CKWK,FD015-2901-00NS,ENP ORB30150
ENP ORB15150,Sorbent Rolls,ENP ORB15150,Sorbents,Sorbent Rolls Oil Only,"Oil Only:  ENPAC oil-select polypropylene bonded sorbent rolls.  Fast-wicking white fibers absorb oils and hydrocarbons only, up to 25 times their weight.

Universal: ENPAC universal polypropylene bonded sorbent rolls.  Fast-wicking gray fibers absorb all liquids, up to 25 times their weight.

Haz-Mat:  ENPAC aggressive polypropylene bonded sorbent rolls.  Fast-wicking fibers absorb all aggressive chemical liquids up to 25 times their weight.

Product Number: ENP ORB30150 (previously ENP WRB144H)
Description: Heavy Weight Bonded Oil-only roll, 30"" wide x 150' long, 1/case, 18 cases/pallet.",,,,,,,,Sorbents,FA324-5001-00EP,FD015-4902-00NS,ENP UPB100M
ENP ORB30150,Sorbent Rolls,ENP ORB30150,Sorbents,Sorbent Rolls Oil Only,"Oil Only:  ENPAC oil-select polypropylene bonded sorbent rolls.  Fast-wicking white fibers absorb oils and hydrocarbons only, up to 25 times their weight.

Universal: ENPAC universal polypropylene bonded sorbent rolls.  Fast-wicking gray fibers absorb all liquids, up to 25 times their weight.

Haz-Mat:  ENPAC aggressive polypropylene bonded sorbent rolls.  Fast-wicking fibers absorb all aggressive chemical liquids up to 25 times their weight.

Product Number: ENP ORB30150 (previously ENP WRB144H)
Description: Heavy Weight Bonded Oil-only roll, 30"" wide x 150' long, 1/case, 18 cases/pallet.",,,,,,,,Sorbents,FA324-0501-00EP,FD015-1901-00NS,ENP UPB100H
ENP UPB100H,Sorbent Pads,ENP UPB100H,Sorbents,Sorbent Pads Universal,"ENPAC meltblown oil-select polypropylene sorbent pads are the most cost-effective absorption technology available. Minimum size is 270 square inches. Fast wicking fibers absorb up to 25 times their weight.

Oil Only: These white pads absorb oils and hydrocarbons only.

Universal:  Bonded for added strength and durability, the grey pads are a great choice for maintenance shops.

Aggressive:  Our hazmat sorbent pads for aggressive liquids are bonded for added strength and durability and color-coded for hazard recognition.  

Minimum Size: 270 square inches",,,,,,,,Sorbents,FA324-0501-00EP,FD015-1901-00NS,ENP ORB15150
ENP UPB100M,Sorbent Pads,ENP UPB100M,Sorbents,Sorbent Pads Universal,"ENPAC meltblown oil-select polypropylene sorbent pads are the most cost-effective absorption technology available. Minimum size is 270 square inches. Fast wicking fibers absorb up to 25 times their weight.

Oil Only: These white pads absorb oils and hydrocarbons only.

Universal:  Bonded for added strength and durability, the grey pads are a great choice for maintenance shops.

Aggressive:  Our hazmat sorbent pads for aggressive liquids are bonded for added strength and durability and color-coded for hazard recognition.  

Minimum Size: 270 square inches",,,,,,,,Sorbents,FA324-5001-00EP,FD015-4902-00NS,ENP URB30150
ENP UPB200S,Sorbent Pads,ENP UPB200S,Sorbents,Sorbent Pads Universal,"ENPAC meltblown oil-select polypropylene sorbent pads are the most cost-effective absorption technology available. Minimum size is 270 square inches. Fast wicking fibers absorb up to 25 times their weight.

Oil Only: These white pads absorb oils and hydrocarbons only.

Universal:  Bonded for added strength and durability, the grey pads are a great choice for maintenance shops.

Aggressive:  Our hazmat sorbent pads for aggressive liquids are bonded for added strength and durability and color-coded for hazard recognition.  

Minimum Size: 270 square inches",,,,,,,,Sorbents,FA324-5000-00EP,FD015-2902-00NS,ENP URB15150
ENP URB15150,Sorbent Rolls,ENP URB15150,Sorbents,Sorbent Rolls Universal,"Oil Only:  ENPAC oil-select polypropylene bonded sorbent rolls.  Fast-wicking white fibers absorb oils and hydrocarbons only, up to 25 times their weight.

Universal: ENPAC universal polypropylene bonded sorbent rolls.  Fast-wicking gray fibers absorb all liquids, up to 25 times their weight.

Haz-Mat:  ENPAC aggressive polypropylene bonded sorbent rolls.  Fast-wicking fibers absorb all aggressive chemical liquids up to 25 times their weight.

Product Number: ENP ORB30150 (previously ENP WRB144H)
Description: Heavy Weight Bonded Oil-only roll, 30"" wide x 150' long, 1/case, 18 cases/pallet.",,,,,,,,Sorbents,FA024-4000-00EP,FD015-1902-00NS,ENP HPB100H
ENP URB30150,Sorbent Rolls,ENP URB30150,Sorbents,Sorbent Rolls Universal,"Oil Only:  ENPAC oil-select polypropylene bonded sorbent rolls.  Fast-wicking white fibers absorb oils and hydrocarbons only, up to 25 times their weight.

Universal: ENPAC universal polypropylene bonded sorbent rolls.  Fast-wicking gray fibers absorb all liquids, up to 25 times their weight.

Haz-Mat:  ENPAC aggressive polypropylene bonded sorbent rolls.  Fast-wicking fibers absorb all aggressive chemical liquids up to 25 times their weight.

Product Number: ENP ORB30150 (previously ENP WRB144H)
Description: Heavy Weight Bonded Oil-only roll, 30"" wide x 150' long, 1/case, 18 cases/pallet.",,,,,,,,Sorbents,FA324-5000-00EP,FD015-2902-00NS,ENP UPB200S
ENPD208CS,ENSORB™ Super Absorbent,ENPD208CS,Sorbents,"ENSORB Super Absorbent™ has unlimited uses. Immediately absorbing liquids of any viscosity, leaving surfaces clean and dry.


Features:
• 15 to 20 times the absorption capacity of clay-based products.
• Extraordinary versatility in absorbing any kind of liquid or semi-liquid on contact and permanently encapsulates absorbed materials. This includes all animal, vegetable, mineral, petroleum, and chemical liquids*.
• Virtually unlimited uses as a dry absorbent that is safe in all applications.
• Picks up all liquids, of any viscosity, off any hard surface, leaving that surface clean and dry.
• Turns the spilled liquid into a solid that can be disposed of easily.
• Lightweight and simple to use, it dramatically reduces clean up costs, as well as the ever-increasing costs of disposal.
• Not injurious to soil, cement, asphalt, tile, plants, animals, or humans.
• Contains no reactive chemicals, is not toxic, flammable, or biodegradable, and is environmentally safe and friendly.","ENSORB™ Super Absorbent is a non-toxic, non-flammable, environmentally safe and friendly, lightweight and powerful substance that can absorb and hold all liquids* while leaving little or no residue. Less than half a pound of ENSORB™ Super Absorbent can completely absorb one quart of motor oil without leaving any residue to re-clean. Clay, earth, and sand products require 15 pounds of material to absorb the same amount and would leave a slippery residue.

ENSORB™ Super Absorbent requires far less absorbent to capture a spill, resulting in greatly reduced disposal costs. ENSORB™ Super Absorbent works on all animal, vegetable, mineral, petroleum based or semi-liquid spills.

ENSORB™ Super Absorbent meets or exceeds all OSHA and EPA requirements for health and safety. Unlike Kitty litter products that contain ""Crystalline"" Silica, ENSORB Super Absorbent™ does not, under OSHA standards, qualify as a carcinogen, or as a substance causing silicosis, a lung disease.

ENSORB™ Super Absorbent requires far less absorbent to capture a spill, resulting in greatly reduced disposal costs. ENSORB Super Absorbent™ is non-injurious to most surfaces including cement, asphalt, tile, carpet. ENSORB Super Absorbent™ leaves no residue, therefore no slips or falls.

ENSORB™ Super Absorbent will save money on shipping, storing and disposal. It's light weight and high absorbency will make it easier to handle (less work-comp claims)

*Note: Cannot be used with Hydrofluoric Acid (HF).",,,,,,,,Sorbents,ENP-IE0077,1315-RD,ENP D312CS
ENP-IE0077,Imbiber Beads® Imbicator™,ENP-IE0077,Sorbents,Imbiber Beads® Imbicator™,"The World’s Only Engineered Absorbent Polymer For Hazardous Chemical Spills. Polypropylene, kitty litter and solidification agents move over! Imbiber Beads® simply work better. They “capture and contain” a broad range of liquid organics including gasoline, diesel and jet fuels, transformer oils, chlorinated solvents and many more hazardous chemicals. Imbiber Beads® eliminate “free liquids” and the secondary contamination associated with surface-coating sorbents such as polypropylene and kitty litter.

The elimination of free liquids means up to 99% vapor reduction and up to 600% reduction in the rate of volatile vapor release over polypropylene. It is the vapors that support combustion and the vapors that are toxic when inhaled!

Organic liquids diffuse into the solid matrix of the Beads which causes them to “Swell” and pick up many times their own volume in liquid. They maintain their structure even in excess liquid. No special permits are required for use, unlike solidification agents.

Imbiber Beads® are the only color change indicating product on the market. They change from white to pink to red as the concentration of organic liquid increases. And they're unaffected by water!!   See how it works.",,,,,,,,Sorbents,1345-,1341-,1340-
ENP-IE0742,Imbiber Beads® Imbicator™,ENP-IE0742,Sorbents,Imbiber Beads® Imbicator™,"The World’s Only Engineered Absorbent Polymer For Hazardous Chemical Spills. Polypropylene, kitty litter and solidification agents move over! Imbiber Beads® simply work better. They “capture and contain” a broad range of liquid organics including gasoline, diesel and jet fuels, transformer oils, chlorinated solvents and many more hazardous chemicals. Imbiber Beads® eliminate “free liquids” and the secondary contamination associated with surface-coating sorbents such as polypropylene and kitty litter.

The elimination of free liquids means up to 99% vapor reduction and up to 600% reduction in the rate of volatile vapor release over polypropylene. It is the vapors that support combustion and the vapors that are toxic when inhaled!

Organic liquids diffuse into the solid matrix of the Beads which causes them to “Swell” and pick up many times their own volume in liquid. They maintain their structure even in excess liquid. No special permits are required for use, unlike solidification agents.

Imbiber Beads® are the only color change indicating product on the market. They change from white to pink to red as the concentration of organic liquid increases. And they're unaffected by water!!   See how it works.",,,,,,,,Sorbents,ENP-IE0077,ENP-IEBS505000,ENP-IE1421
ENP-IE1421,Imbiber Beads® Imbicator™,ENP-IE1421,Sorbents,Imbiber Beads® Imbicator™,"The World’s Only Engineered Absorbent Polymer For Hazardous Chemical Spills. Polypropylene, kitty litter and solidification agents move over! Imbiber Beads® simply work better. They “capture and contain” a broad range of liquid organics including gasoline, diesel and jet fuels, transformer oils, chlorinated solvents and many more hazardous chemicals. Imbiber Beads® eliminate “free liquids” and the secondary contamination associated with surface-coating sorbents such as polypropylene and kitty litter.

The elimination of free liquids means up to 99% vapor reduction and up to 600% reduction in the rate of volatile vapor release over polypropylene. It is the vapors that support combustion and the vapors that are toxic when inhaled!

Organic liquids diffuse into the solid matrix of the Beads which causes them to “Swell” and pick up many times their own volume in liquid. They maintain their structure even in excess liquid. No special permits are required for use, unlike solidification agents.

Imbiber Beads® are the only color change indicating product on the market. They change from white to pink to red as the concentration of organic liquid increases. And they're unaffected by water!!   See how it works.",,,,,,,,Sorbents,ENP-IE0077,ENP-IE0742,ENP-IE2135
ENP-IE2135,Imbiber Beads® Imbicator™,ENP-IE2135,Sorbents,Imbiber Beads® Imbicator™,"The World’s Only Engineered Absorbent Polymer For Hazardous Chemical Spills. Polypropylene, kitty litter and solidification agents move over! Imbiber Beads® simply work better. They “capture and contain” a broad range of liquid organics including gasoline, diesel and jet fuels, transformer oils, chlorinated solvents and many more hazardous chemicals. Imbiber Beads® eliminate “free liquids” and the secondary contamination associated with surface-coating sorbents such as polypropylene and kitty litter.

The elimination of free liquids means up to 99% vapor reduction and up to 600% reduction in the rate of volatile vapor release over polypropylene. It is the vapors that support combustion and the vapors that are toxic when inhaled!

Organic liquids diffuse into the solid matrix of the Beads which causes them to “Swell” and pick up many times their own volume in liquid. They maintain their structure even in excess liquid. No special permits are required for use, unlike solidification agents.

Imbiber Beads® are the only color change indicating product on the market. They change from white to pink to red as the concentration of organic liquid increases. And they're unaffected by water!!   See how it works.",,,,,,,,Sorbents,ENP-IE0077,ENP-IE1421,ENP-IEBS505000
ENP-IEBS505000,Imbiber Beads® Imbicator™,ENP-IEBS505000,Sorbents,Imbiber Beads® Imbicator™,"The World’s Only Engineered Absorbent Polymer For Hazardous Chemical Spills. Polypropylene, kitty litter and solidification agents move over! Imbiber Beads® simply work better. They “capture and contain” a broad range of liquid organics including gasoline, diesel and jet fuels, transformer oils, chlorinated solvents and many more hazardous chemicals. Imbiber Beads® eliminate “free liquids” and the secondary contamination associated with surface-coating sorbents such as polypropylene and kitty litter.

The elimination of free liquids means up to 99% vapor reduction and up to 600% reduction in the rate of volatile vapor release over polypropylene. It is the vapors that support combustion and the vapors that are toxic when inhaled!

Organic liquids diffuse into the solid matrix of the Beads which causes them to “Swell” and pick up many times their own volume in liquid. They maintain their structure even in excess liquid. No special permits are required for use, unlike solidification agents.

Imbiber Beads® are the only color change indicating product on the market. They change from white to pink to red as the concentration of organic liquid increases. And they're unaffected by water!!   See how it works.",20/9.1,,,,,,,Sorbents,ENP-IE0077,ENP-IE2135,ENP-IE0742
FA024-1000-00EP,ChemKlenz™ Immediate Spill Response,FA024-1000-00EP,Sorbents,1‐KG PRESSURIZED CYLINDER,"ChemKlenz is a proprietary formulation of non-toxic, environmentally safe metal oxides for neutralizing a wide range of toxic chemicals. The ChemKlenz formulation is non-flammable, non-corrosive and significantly reduces both liquid and vapor hazards. Since the dry powder neutralizes threats upon contact, on-site incident management and clean up times are reduced.

ChemKlenz works quickly to significantly reduce hazards associated with common industrial chemicals including: acids, acidic/caustic gases, organic compounds, phosphorus and sulfur compounds, and many industrial solvents. By the nature of ChemKlenz’s innovative chemistry, hazards are chemically bound to the surface of the powder minimizing off-gassing.

ChemKlenz is offered in pressurized cylinders capable of addressing both liquid and vapor hazards as well as manually dispersed containers for liquid hazard treatment. ChemKlenz can be safely applied to any liquid spill or vapor release enabling personnel to utilize one technology when faced with a wide variety of known or unknown chemical hazards.

ChemKlenz™ provides PROTECTION for individuals and property from chemicals in the form of a SIMPLE solution that provides IMMEDIATE response to a BROAD array of chemical hazards. ChemKlenz can be INTEGRATED easily into existing response plans and safety programs, but best of all it is easy to TRAIN, MAINTAIN, and USE.

Send Technical Questions to: ChemKlenz@enpac.com",,,,,,,,Sorbents,ENP OP100H,FD324-0901-00EP,ENP URB30150
FA024-2000-00EP,ChemKlenz™ Immediate Spill Response,FA024-2000-00EP,Sorbents,2‐KG PRESSURIZED CYLINDER,"ChemKlenz is a proprietary formulation of non-toxic, environmentally safe metal oxides for neutralizing a wide range of toxic chemicals. The ChemKlenz formulation is non-flammable, non-corrosive and significantly reduces both liquid and vapor hazards. Since the dry powder neutralizes threats upon contact, on-site incident management and clean up times are reduced.

ChemKlenz works quickly to significantly reduce hazards associated with common industrial chemicals including: acids, acidic/caustic gases, organic compounds, phosphorus and sulfur compounds, and many industrial solvents. By the nature of ChemKlenz’s innovative chemistry, hazards are chemically bound to the surface of the powder minimizing off-gassing.

ChemKlenz is offered in pressurized cylinders capable of addressing both liquid and vapor hazards as well as manually dispersed containers for liquid hazard treatment. ChemKlenz can be safely applied to any liquid spill or vapor release enabling personnel to utilize one technology when faced with a wide variety of known or unknown chemical hazards.

ChemKlenz™ provides PROTECTION for individuals and property from chemicals in the form of a SIMPLE solution that provides IMMEDIATE response to a BROAD array of chemical hazards. ChemKlenz can be INTEGRATED easily into existing response plans and safety programs, but best of all it is easy to TRAIN, MAINTAIN, and USE.

Send Technical Questions to: ChemKlenz@enpac.com",,,,,,,,Sorbents,ENP HPB100M,FD015-4903-00NS,ENP ORB15150
FA024-4000-00EP,ChemKlenz™ Immediate Spill Response,FA024-4000-00EP,Sorbents,4‐KG PRESSURIZED CYLINDER,"ChemKlenz is a proprietary formulation of non-toxic, environmentally safe metal oxides for neutralizing a wide range of toxic chemicals. The ChemKlenz formulation is non-flammable, non-corrosive and significantly reduces both liquid and vapor hazards. Since the dry powder neutralizes threats upon contact, on-site incident management and clean up times are reduced.

ChemKlenz works quickly to significantly reduce hazards associated with common industrial chemicals including: acids, acidic/caustic gases, organic compounds, phosphorus and sulfur compounds, and many industrial solvents. By the nature of ChemKlenz’s innovative chemistry, hazards are chemically bound to the surface of the powder minimizing off-gassing.

ChemKlenz is offered in pressurized cylinders capable of addressing both liquid and vapor hazards as well as manually dispersed containers for liquid hazard treatment. ChemKlenz can be safely applied to any liquid spill or vapor release enabling personnel to utilize one technology when faced with a wide variety of known or unknown chemical hazards.

ChemKlenz™ provides PROTECTION for individuals and property from chemicals in the form of a SIMPLE solution that provides IMMEDIATE response to a BROAD array of chemical hazards. ChemKlenz can be INTEGRATED easily into existing response plans and safety programs, but best of all it is easy to TRAIN, MAINTAIN, and USE.

Send Technical Questions to: ChemKlenz@enpac.com",,,,,,,,Sorbents,ENP HPB100H,FD015-1902-00NS,ENP ORB30150
FA324-0501-00EP,ChemKlenz™ Immediate Spill Response,FA324-0501-00EP,Sorbents,500 Gram Granules Bag,"ChemKlenz is a proprietary formulation of non-toxic, environmentally safe metal oxides for neutralizing a wide range of toxic chemicals. The ChemKlenz formulation is non-flammable, non-corrosive and significantly reduces both liquid and vapor hazards. Since the dry powder neutralizes threats upon contact, on-site incident management and clean up times are reduced.

ChemKlenz works quickly to significantly reduce hazards associated with common industrial chemicals including: acids, acidic/caustic gases, organic compounds, phosphorus and sulfur compounds, and many industrial solvents. By the nature of ChemKlenz’s innovative chemistry, hazards are chemically bound to the surface of the powder minimizing off-gassing.

ChemKlenz is offered in pressurized cylinders capable of addressing both liquid and vapor hazards as well as manually dispersed containers for liquid hazard treatment. ChemKlenz can be safely applied to any liquid spill or vapor release enabling personnel to utilize one technology when faced with a wide variety of known or unknown chemical hazards.

ChemKlenz™ provides PROTECTION for individuals and property from chemicals in the form of a SIMPLE solution that provides IMMEDIATE response to a BROAD array of chemical hazards. ChemKlenz can be INTEGRATED easily into existing response plans and safety programs, but best of all it is easy to TRAIN, MAINTAIN, and USE.

Send Technical Questions to: ChemKlenz@enpac.com",,,,,,,,Sorbents,ENP UPB100H,FD015-1901-00NS,ENP URB15150
FA324-0750-00EP,ChemKlenz™ Immediate Spill Response,FA324-0750-00EP,Sorbents,Shaker (750 Gram Granules),"ChemKlenz is a proprietary formulation of non-toxic, environmentally safe metal oxides for neutralizing a wide range of toxic chemicals. The ChemKlenz formulation is non-flammable, non-corrosive and significantly reduces both liquid and vapor hazards. Since the dry powder neutralizes threats upon contact, on-site incident management and clean up times are reduced.

ChemKlenz works quickly to significantly reduce hazards associated with common industrial chemicals including: acids, acidic/caustic gases, organic compounds, phosphorus and sulfur compounds, and many industrial solvents. By the nature of ChemKlenz’s innovative chemistry, hazards are chemically bound to the surface of the powder minimizing off-gassing.

ChemKlenz is offered in pressurized cylinders capable of addressing both liquid and vapor hazards as well as manually dispersed containers for liquid hazard treatment. ChemKlenz can be safely applied to any liquid spill or vapor release enabling personnel to utilize one technology when faced with a wide variety of known or unknown chemical hazards.

ChemKlenz™ provides PROTECTION for individuals and property from chemicals in the form of a SIMPLE solution that provides IMMEDIATE response to a BROAD array of chemical hazards. ChemKlenz can be INTEGRATED easily into existing response plans and safety programs, but best of all it is easy to TRAIN, MAINTAIN, and USE.

Send Technical Questions to: ChemKlenz@enpac.com",,,,,,,,Sorbents,ENP OP100M,FD015-4901-00NS,ENP ORB15150
FA324-5000-00EP,ChemKlenz™ Immediate Spill Response,FA324-5000-00EP,Sorbents,5kg Pail Granules,"ChemKlenz is a proprietary formulation of non-toxic, environmentally safe metal oxides for neutralizing a wide range of toxic chemicals. The ChemKlenz formulation is non-flammable, non-corrosive and significantly reduces both liquid and vapor hazards. Since the dry powder neutralizes threats upon contact, on-site incident management and clean up times are reduced.

ChemKlenz works quickly to significantly reduce hazards associated with common industrial chemicals including: acids, acidic/caustic gases, organic compounds, phosphorus and sulfur compounds, and many industrial solvents. By the nature of ChemKlenz’s innovative chemistry, hazards are chemically bound to the surface of the powder minimizing off-gassing.

ChemKlenz is offered in pressurized cylinders capable of addressing both liquid and vapor hazards as well as manually dispersed containers for liquid hazard treatment. ChemKlenz can be safely applied to any liquid spill or vapor release enabling personnel to utilize one technology when faced with a wide variety of known or unknown chemical hazards.

ChemKlenz™ provides PROTECTION for individuals and property from chemicals in the form of a SIMPLE solution that provides IMMEDIATE response to a BROAD array of chemical hazards. ChemKlenz can be INTEGRATED easily into existing response plans and safety programs, but best of all it is easy to TRAIN, MAINTAIN, and USE.

Send Technical Questions to: ChemKlenz@enpac.com",,,,,,,,Sorbents,ENP UPB200S,FD015-2902-00NS,ENP HRB15150
FA324-5001-00EP,ChemKlenz™ Immediate Spill Response,FA324-5001-00EP,Sorbents,5kg Granules Bag,"ChemKlenz is a proprietary formulation of non-toxic, environmentally safe metal oxides for neutralizing a wide range of toxic chemicals. The ChemKlenz formulation is non-flammable, non-corrosive and significantly reduces both liquid and vapor hazards. Since the dry powder neutralizes threats upon contact, on-site incident management and clean up times are reduced.

ChemKlenz works quickly to significantly reduce hazards associated with common industrial chemicals including: acids, acidic/caustic gases, organic compounds, phosphorus and sulfur compounds, and many industrial solvents. By the nature of ChemKlenz’s innovative chemistry, hazards are chemically bound to the surface of the powder minimizing off-gassing.

ChemKlenz is offered in pressurized cylinders capable of addressing both liquid and vapor hazards as well as manually dispersed containers for liquid hazard treatment. ChemKlenz can be safely applied to any liquid spill or vapor release enabling personnel to utilize one technology when faced with a wide variety of known or unknown chemical hazards.

ChemKlenz™ provides PROTECTION for individuals and property from chemicals in the form of a SIMPLE solution that provides IMMEDIATE response to a BROAD array of chemical hazards. ChemKlenz can be INTEGRATED easily into existing response plans and safety programs, but best of all it is easy to TRAIN, MAINTAIN, and USE.

Send Technical Questions to: ChemKlenz@enpac.com",,,,,,,,Sorbents,ENP UPB100M,FD015-4902-00NS,ENP HRB30150
